,diasourceid,ssobjectid,midpointtai,mag,filter,heliocentricx,heliocentricy
9695,3609996735258072223,-6416615487256552917,60042.23956589355,21.903309,y,-1.85778441206621,-0.4110269478667243
9696,3408429143026599112,6431961613464939114,60042.2150985475,21.801739,y,-1.6669701676405468,-0.39940918311664647
9697,5545703272575514632,6335012356017138477,60042.281878121255,21.747602,i,-1.5170466269733571,-0.642187533842166
9698,5486534187673167805,-7992733589123031186,60042.13726126032,20.705284,i,-1.908047076828352,-0.21361827477470768
9699,-3101178074970443209,-855693844000518758,60042.17123549789,22.525852,z,-1.798367783643099,0.0905245389378766
9700,7297980834785693091,7345340277337596750,60042.26972499613,20.499788,y,-1.8798003491625854,-0.47479887158215495
9701,8350701883786244082,2750815932863494688,60042.13539330409,22.387636,i,-1.922753197414161,-0.1255429756377404
9702,-2506668082815837824,-4290720339475556927,60041.98418885692,23.109514,r,-1.6860421516389978,0.9671825795029645
9703,-6787745582817054859,-6416615487256552917,60042.192856211725,22.024395,y,-1.8578609762106422,-0.4104475051821295
9704,-7997629929799375973,5531065526253214151,60042.16765700512,20.99695,z,-1.5848237967908108,-0.11463018954978932
9705,6076523112776271729,-5684171453831213115,60042.03683244412,21.114216,z,-1.8925476506349501,0.36101071410551305
9706,-2068804681027021477,-9170506145020360889,60042.11114299549,21.136395,y,-1.9614193118898742,0.2893454318130768
9707,-5606463251236731378,-2930070421717006704,60042.051381317186,21.605268,y,-1.7460686886846053,0.2936724233289882
9708,6409404016469187520,-6416615487256552917,60042.26882985336,21.542877,y,-1.8577363558171236,-0.41138995333269923
9709,-1560261043400990435,3188464864472384285,60042.16585528801,20.42613,z,-1.8111407713157597,-0.17176766939741722
9710,2907035680756812293,3188464864472384285,60042.18201975697,20.373972,y,-1.8111205269925836,-0.1719713225012691
9711,8851853801497150695,-9209421466836361085,60042.02878111254,22.255796,z,-1.8837926965138874,0.3912324348319832
9712,-6801461315693690705,-3893528851949708936,60042.09670933975,22.142666,z,-1.8524618053522919,0.27377667484230617
9713,7367878890812658651,4337956033810920760,60041.98553714401,23.278074,r,-1.5769910102924425,0.865411947275549
9714,1686084778963043955,4609324393962889361,60042.25935437502,20.667469,y,-1.8379214000279351,-0.45794446438142045
9715,6702654993493107535,-4075095721855475663,60042.265701167016,20.676119,y,-1.9288977536263865,-0.40991562130061154
9716,8290173989401844518,1511844631361226866,60042.06956755833,21.460114,i,-1.88812611105195,0.17211199416756107
9717,3446256739052147120,7857099247802409491,60042.127325675996,20.782513,i,-1.9708017929366273,0.2996811721013752
9718,-8295346550098335741,-4192686582360110799,60042.15162242801,21.948298,z,-1.860600701475677,-0.15680065591754738
9719,949959757256011542,-2582405391193282812,60042.26480910851,20.13663,y,-1.8058147146517693,-0.33901389431974444
9720,4820557509107552200,-6614099249033246452,60042.02288741155,21.942173,z,-1.7767193905046943,0.7608909757888597
9721,-1637702993593604508,304336591666814913,60042.134947556464,21.49048,i,-1.9715582190344478,-0.08367096769591367
9722,-1920539373679221535,7509481009161288629,60042.19106761702,20.295534,y,-1.8764313649587392,-0.26836972614056104
9723,-8806235642112840235,7509481009161288629,60042.20609457153,20.38757,y,-1.8763935400073772,-0.26855019421985526
